电影名称,总票房,类型
哪吒之魔童降世,497286,动画
流浪地球,465592,科幻
我和我的祖国,266138,剧情
中国机长,253041,剧情
疯狂的外星人,220293,喜剧
飞驰人生,171785,喜剧
扫毒2：天地对决,129731,动作
攀登者,101386,剧情
银河补习班,87235,剧情
反贪风暴4,79551,动作
熊出没·原始时代,71518,动画
使徒行者2：谍影行动,69943,动作
新喜剧之王,62495,喜剧
白蛇：缘起,45018,动画
最好的我们,41307,爱情
诛仙Ⅰ,40258,古装
“大”人物,37982,动作
老师·好,35416,剧情
罗小黑战记,31354,动画
追龙Ⅱ,30708,犯罪
小小的愿望,26716,喜剧
沉默的证人,17975,动作
一吻定情,17362,爱情
犯罪现场,17291,犯罪
神探蒲松龄,15296,奇幻
小猪佩奇过大年,12438,动画
上海堡垒,12196,科幻
下一任：前任,12127,爱情
廉政风云,11443,剧情
决胜时刻,11187,剧情
小Q,11040,剧情
鼠胆英雄,10116,喜剧
雪人奇缘,10018,动画
全职高手之巅峰荣耀,8510,动画
风中有朵雨做的云,6497,悬疑
人间·喜剧,6297,喜剧
碟仙,5236,惊悚
妈阁是座城,5048,剧情
地久天长,4522,爱情
铤而走险,4426,剧情
钢铁飞龙之奥特曼崛起,4364,动作
跳舞吧！大象,3911,剧情
猪猪侠·不可思议的世界,3596,动画
古田军号,3525,战争
家和万事惊,3263,喜剧
秦明·生死语者,2992,犯罪
送我上青云,2951,剧情
红星照耀中国,2951,战争
周恩来回延安,2824,剧情
雪暴,2820,剧情
深夜食堂,2413,剧情
潜艇总动员：外星宝贝计划,2398,动画
如影随心,2368,爱情
巧虎大飞船历险记,2322,动画
素人特工,2247,喜剧
八子,2074,动作
回到过去拥抱你,1969,爱情
悟空奇遇记,1904,动画
狗眼看人心,1861,剧情
龙牌之谜,1851,奇幻
九龙不败,1805,动作
双生,1767,剧情
未来机器城,1690,动画
转型团伙,1675,喜剧
看不见的小孩,1667,惊悚
我的青春都是你,1486,爱情
黄玫瑰,1299,剧情
四个春天,1060,纪录片
桂香街,1060,剧情
撞死了一只羊,1038,剧情
青蛙王子历险记,1037,喜剧
过春天,996,剧情
燃点,820,纪录片
最长1枪,808,剧情
战斗民族养成记,804,爱情
大侦探霍桑,798,喜剧
港珠澳大桥,751,纪录片
武陵山上的星光,748,剧情
欲念游戏,748,剧情
逗爱熊仁镇,631,爱情
一生只为一事来,592,剧情
古井凶灵,535,惊悚
原来如此,526,惊悚
废柴老爸,521,喜剧
在乎你,505,爱情
闯堂兔3囧囧时光机,501,动画
疯狂梦幻城,500,动画
音乐家,495,剧情
国礼,447,剧情
童童的风铃密室,446,惊悚
功夫四侠：勇闯地宫,441,动画
阳台上,398,剧情
灰猴,388,喜剧
花儿与歌声,377,剧情
尺八·一声一世,374,纪录片
零零后,371,纪录片
毕业的我们,350,青春
丑娃娃,348,动画
醒来之爱的呼唤,344,剧情
守灵,337,惊悚
亲密旅行,330,剧情
动物出击,309,儿童
夜伴歌声,304,惊悚
打过长江去,286,剧情
极度危机,274,剧情
我的宠物是大象,256,喜剧
大河唱,234,纪录片
营救汪星人,210,喜剧
当我们海阔天空,206,青春
